X6005.3SA	X6005.3SB	X6005.3SC	DMSO5.3A	DMSO5.3B	DMSO5.3C
Gm13682_3440	3	0	2	2	0	0
Unknown_3441	0	0	0	0	0	0
Unknown_3442	0	0	0	1	2	1
Unknown_3443	57	133	113	111	118	98
Zc3h15_3444	4463	5818	5394	3182	5107	3820
Unknown_3445	0	0	0	0	0	0
Itgav_3446	3755	3994	3827	2508	2818	2064
Unknown_3447	5	8	10	0	3	3
Unknown_3448	2	0	1	0	2	0
Fam171b_3449	7	5	1	1	2	0
Zswim2_3450	0	0	0	0	0	0
Gm13698_3451	494	623	531	528	879	643
Gm13693_3452	62	76	64	54	95	84
Gm13695_3453	93	135	90	134	193	148
Gm13696_3454	2	3	4	4	7	3
Gm13694_3455	0	0	0	0	0	0
Gm13697_3456	1	0	0	1	0	2
Gm13691_3457	0	0	0	0	0	0
Unknown_3458	0	0	0	0	0	0
Unknown_3459	1	0	0	0	0	1
Unknown_3460	0	0	0	0	0	0
Unknown_3461	0	0	0	0	0	0
Calcrl_3462	447	398	347	411	903	460
Tfpi_3463	16	9	2	513	448	360
Gm13710_3464	2	3	5	3	3	4
Ctnnd1_3465	5315	6913	6198	3310	4667	3264
Btbd18_3466	1	0	0	0	0	0
Selenoh_3467	735	560	562	525	828	642
Tmx2_3468	3089	2865	2728	1538	2227	1568
Med19_3469	1073	1092	1084	660	1161	872
Zdhhc5_3470	5010	5481	5170	3497	5781	4225
Unknown_3471	4	2	2	0	0	2
Unknown_3472	3	1	1	0	3	3
Clp1_3473	1120	1470	1480	1046	1654	1068
Ypel4_3474	0	0	1	1	0	0
Mir130a_3475	0	0	0	0	0	0
Unknown_3476	0	0	0	0	0	0
Serping1_3477	0	0	0	0	0	0
Ube2l6_3478	48	52	43	9	13	8
Smtnl1_3479	0	0	0	0	0	0
Timm10_3480	266	294	299	312	420	356
Slc43a1_3481	0	0	0	10	9	4
Rtn4rl2_3482	1	8	6	22	1	2
Unknown_3483	0	0	0	0	0	0
Slc43a3_3484	6330	5342	5108	3190	4338	3177
Prg2_3485	2	3	1	1	3	1
Prg3_3486	0	0	2	3	3	0
P2rx3_3487	959	461	419	1089	1623	1081
Ssrp1_3488	14633	13884	12259	12844	19789	13870
Tnks1bp1_3489	436	461	435	214	405	290
4930443O20Rik_3490	0	0	0	0	0	0
Aplnr_3491	0	0	1	0	0	0
Unknown_3492	263	263	227	141	233	186
Unknown_3493	0	0	0	0	0	0
Lrrc55_3494	0	0	0	0	0	0
Unknown_3495	0	0	0	0	0	0
Gm13715_3496	0	0	0	0	0	0
Unknown_3497	3	2	3	1	1	3
Olfr987_3498	0	0	0	0	0	0
Olfr988_3499	0	0	0	0	0	0
Olfr990-ps1_3500	0	0	0	0	0	0
Olfr992_3501	0	0	0	0	0	0
Olfr993_3502	0	0	0	0	0	0
Gm23716_3503	0	0	0	0	0	0
Olfr994_3504	0	0	0	0	0	0
Olfr995_3505	0	0	0	0	0	0
Fads2b_3506	0	0	0	0	0	0
Unknown_3507	0	0	0	0	0	0
Olfr997-ps1_3508	0	0	0	0	0	0
Unknown_3509	0	0	0	0	0	0
Olfr999-ps1_3510	0	0	0	0	0	0
Olfr1000_3511	0	0	0	0	0	0
Unknown_3512	0	0	0	0	0	0
Olfr1002_3513	0	0	0	0	0	0
Unknown_3514	0	0	0	0	0	0
Olfr1004-ps1_3515	0	0	0	0	0	0
Olfr154_3516	0	0	0	0	0	0
Olfr1006_3517	0	0	0	0	0	0
Olfr1008_3518	0	0	0	0	0	0
Olfr1009_3519	0	0	0	0	0	0
Unknown_3520	0	0	0	0	0	0
Olfr1012_3521	0	0	0	0	0	0
Olfr1013_3522	0	0	0	0	0	0
Olfr1014_3523	0	0	0	0	0	0
Olfr1015_3524	0	0	0	0	0	0
Olfr1016_3525	0	0	0	0	0	0
Unknown_3526	0	0	0	0	0	0
Gm13720_3527	0	0	0	0	1	1
Olfr1018_3528	0	0	0	0	0	0
Olfr1019_3529	0	0	0	0	0	0
Olfr1020_3530	0	0	0	0	0	0
Unknown_3531	0	0	0	0	0	0
Olfr1022_3532	0	0	0	0	0	0
Gm24037_3533	0	0	0	0	0	0
Olfr1023_3534	0	0	0	0	0	0
Olfr1024_3535	0	0	0	0	0	0
Unknown_3536	0	0	0	0	0	0
Olfr1026_3537	0	0	0	0	0	0
Unknown_3538	0	0	0	0	0	0
Olfr1028_3539	0	0	0	0	0	0
Olfr1029_3540	0	0	0	0	0	0
Olfr1030_3541	0	0	0	0	0	0
Olfr1031_3542	0	0	0	0	0	0
Olfr1032_3543	0	0	0	0	0	0
Olfr1033_3544	0	0	0	0	0	0
Unknown_3545	0	0	0	0	0	0
Unknown_3546	0	0	0	0	0	0
Unknown_3547	0	0	0	0	0	0
Olfr1037_3548	0	0	0	0	0	0
Unknown_3549	9	3	7	5	9	5
Unknown_3550	0	0	0	0	0	0
Olfr1039_3551	0	0	0	0	0	0
Olfr1040_3552	0	0	0	0	0	0
Olfr1042_3553	0	0	0	0	0	0
Olfr1043_3554	0	0	0	0	0	0
Olfr1044_3555	0	0	0	0	0	0
Olfr52_3556	0	0	0	0	0	0
Olfr1045_3557	0	0	0	0	0	0
Olfr1046_3558	0	0	0	0	0	0
Olfr1047_3559	0	0	0	0	0	0
Olfr1048_3560	0	0	0	0	0	0
Olfr1049_3561	0	0	0	0	0	0
Olfr1050-ps1_3562	0	0	0	0	0	0
Olfr1051_3563	0	0	0	0	0	0
Olfr1052_3564	0	0	0	0	0	0
Olfr1053_3565	0	0	0	0	0	0
Unknown_3566	330	410	378	194	335	259
Olfr1054_3567	0	0	0	0	0	0
Olfr1055_3568	0	0	0	0	0	0
Olfr1056_3569	0	0	0	0	0	0
Olfr1057_3570	0	0	0	0	0	0
Olfr1058_3571	0	0	0	0	0	0
Unknown_3572	0	0	0	0	0	0
Olfr1061_3573	0	0	0	0	0	0
Olfr1062_3574	0	0	0	0	0	0
Olfr1063-ps1_3575	0	0	0	0	0	0
Unknown_3576	0	0	0	0	0	0
Olfr1066_3577	0	0	0	0	0	0
Unknown_3578	0	0	0	0	0	0
Unknown_3579	0	0	0	0	0	0
Unknown_3580	0	0	0	0	0	0
Olfr1076_3581	0	0	0	0	0	0
Unknown_3582	0	0	0	0	0	0
Olfr1078-ps1_3583	0	0	0	0	0	0
Olfr1079_3584	0	0	0	0	0	0
Unknown_3585	0	0	0	0	0	0
Olfr1081-ps1_3586	0	0	0	0	0	0
Unknown_3587	0	0	0	0	0	0
Olfr1083-ps_3588	0	0	0	0	0	0
Unknown_3589	0	0	0	0	0	0
Olfr1085_3590	0	0	0	0	0	0
Olfr1086_3591	0	0	0	0	0	0
Olfr1087_3592	0	0	0	0	0	0
Unknown_3593	0	0	0	0	0	0
Olfr1090_3594	0	0	0	0	0	0
Olfr1093_3595	0	0	0	0	0	0
Unknown_3596	0	0	0	0	0	0
Olfr141_3597	0	0	0	0	0	0
Olfr1094_3598	0	0	0	0	0	0
Olfr1095_3599	0	0	0	0	0	0
Unknown_3600	0	0	0	0	0	0
Olfr1096_3601	0	0	0	0	0	0
Olfr1097_3602	0	0	0	0	0	0
Olfr1098_3603	0	0	0	0	0	0
Olfr1099_3604	0	0	0	0	0	0
Olfr1100_3605	0	0	0	0	0	0
Olfr1101_3606	0	0	0	0	0	0
Olfr1102_3607	0	0	0	0	0	0
Olfr1103-ps1_3608	0	0	0	0	0	0
Olfr1104_3609	0	0	0	0	0	0
Olfr1105_3610	0	0	0	0	0	0
Olfr1106_3611	0	0	0	0	0	0
Olfr1107_3612	0	0	0	0	0	0
Olfr1109_3613	0	0	0	0	0	0
Olfr259_3614	0	0	0	0	0	0
Unknown_3615	8	8	8	6	10	3
Olfr1110_3616	0	0	0	0	0	0
Unknown_3617	0	0	0	0	0	0
Olfr1111_3618	0	0	0	0	0	0
Unknown_3619	173	153	152	89	107	80
Olfr1112_3620	0	0	0	0	0	0
Gm13730_3621	65	71	68	63	93	52
Olfr1113_3622	0	0	0	0	0	0
Unknown_3623	119	166	122	93	116	86
Olfr1115_3624	0	0	0	0	0	0
Unknown_3625	0	0	0	0	0	0
Unknown_3626	1	1	1	1	0	0
Olfr1116_3627	0	0	0	0	0	0
Unknown_3628	2	4	3	0	1	2
Olfr1118_3629	0	0	0	0	0	0
Unknown_3630	4	4	1	1	1	3
Unknown_3631	0	0	0	0	0	0
Unknown_3632	0	0	0	0	0	0
Unknown_3633	213	290	271	124	191	134
Unknown_3634	0	0	0	0	0	0
Olfr1121_3635	0	0	0	0	0	0
Olfr1122_3636	0	0	0	0	0	0
Unknown_3637	1327	1229	1258	680	1051	791
Olfr1123_3638	0	0	0	0	0	0
Olfr1124_3639	0	0	0	0	0	0
Olfr1126_3640	0	0	0	0	0	0
Pramel7_3641	0	0	0	0	0	0
Pramel6_3642	0	0	0	0	0	0
Unknown_3643	0	0	1	0	0	0
Olfr1127-ps1_3644	0	0	0	0	0	0
Unknown_3645	1584	1788	1753	1044	1518	1124
Olfr153_3646	0	0	0	0	0	0
Olfr1128_3647	0	0	0	0	0	0
Unknown_3648	893	1033	902	790	954	755
Gm13744_3649	46	63	59	69	95	66
Unknown_3650	157	213	178	157	279	195
Olfr1129_3651	0	0	0	0	0	0
Olfr1130_3652	0	0	0	0	0	0
Olfr1131_3653	0	0	0	0	0	0
Olfr1132_3654	0	0	0	0	0	0
Gm13742_3655	1	0	1	0	0	0
Olfr1133_3656	0	0	0	0	0	0
Unknown_3657	0	0	0	0	0	0
Unknown_3658	0	0	0	0	0	0
Olfr1135_3659	0	0	0	0	0	0
Olfr1136_3660	0	0	0	0	0	0
Olfr1137_3661	0	0	0	0	0	0
Olfr1138_3662	0	0	0	0	0	0
Olfr1140_3663	0	0	0	0	0	0
Olfr1141_3664	0	0	0	0	0	0
Olfr152_3665	0	0	1	0	0	0
Olfr1143_3666	0	0	0	0	0	0
Unknown_3667	0	0	0	0	0	0
Olfr1145_3668	0	0	0	0	0	0
Olfr1146-ps1_3669	0	0	0	0	0	0
Olfr1147-ps1_3670	0	0	0	0	0	0
Olfr1148_3671	0	0	0	0	0	0
Olfr1149-ps1_3672	0	0	0	0	0	0
Olfr1120_3673	0	0	0	0	0	0
Olfr1151_3674	0	0	0	0	0	0
Olfr1152_3675	0	0	0	0	0	0
Unknown_3676	0	0	0	0	0	0
Olfr1153_3677	0	0	0	0	0	0
Olfr1154_3678	0	0	0	0	0	0
Olfr1155_3679	0	0	0	0	0	0
Olfr1156_3680	0	0	0	0	0	0
Olfr1157_3681	0	0	0	0	0	0
Olfr74_3682	0	0	0	0	0	0
Olfr1158_3683	0	0	0	0	0	0
Olfr1159-ps1_3684	0	0	0	0	0	0
Olfr1160_3685	0	0	0	0	0	0
Olfr1161_3686	0	0	0	0	0	0
Olfr73_3687	0	0	0	0	0	0
Unknown_3688	0	0	0	0	0	0
Olfr1162_3689	0	0	0	0	0	0
Olfr1163_3690	0	0	0	0	0	0
Olfr1164_3691	0	0	0	0	0	0
Olfr1165-ps_3692	0	0	0	0	0	0
Unknown_3693	0	0	0	0	0	0
Unknown_3694	0	0	0	0	0	0
Olfr1168_3695	0	0	0	0	0	0
Unknown_3696	0	0	0	0	0	0
Olfr1170_3697	0	0	0	0	0	0
Unknown_3698	0	0	0	0	0	0
Unknown_3699	0	0	0	0	0	0
Unknown_3700	0	0	0	0	0	0
Olfr1173_3701	0	0	0	0	0	0
Unknown_3702	0	0	0	0	0	0
Unknown_3703	0	0	0	0	0	0
Olfr1176_3704	0	0	0	0	0	0
Unknown_3705	0	0	0	0	0	0
Olfr1178_3706	0	0	0	0	0	0
Olfr1179_3707	0	0	0	0	0	0
Olfr475-ps1_3708	0	0	0	0	0	0
Olfr1181_3709	0	0	0	0	0	0
Unknown_3710	0	0	0	0	0	0
Olfr1182_3711	0	0	0	0	0	0
Olfr1183_3712	0	0	0	0	0	0
Olfr1184_3713	0	0	0	0	0	0
Olfr1186_3714	0	0	0	0	0	0
Unknown_3715	0	0	0	0	0	0
Olfr1187-ps1_3716	0	0	0	0	0	0
Olfr1188_3717	0	0	0	0	0	0
Unknown_3718	303	413	420	283	461	299
Olfr1189_3719	0	0	0	0	0	0
Unknown_3720	0	0	0	0	0	0
Unknown_3721	0	0	0	0	0	0
Unknown_3722	0	0	0	0	0	0
Olfr1180_3723	0	0	0	0	0	0
Olfr1193_3724	0	0	0	0	0	0
Olfr1195_3725	0	0	0	0	0	0
Olfr1196_3726	0	0	0	0	0	0
Olfr1197_3727	0	0	0	0	0	0
Olfr1198_3728	0	0	0	0	0	0
Olfr1199_3729	0	0	0	0	0	0
Unknown_3730	0	0	0	0	0	0
Olfr1200_3731	0	0	0	0	0	0
Olfr1201_3732	0	0	0	0	0	0
Olfr1202_3733	0	0	0	0	0	0
Olfr1205_3734	0	0	0	0	0	0
Olfr1204_3735	0	0	0	0	0	0
Olfr1206_3736	0	0	0	0	0	0
Olfr1208_3737	0	0	0	0	0	0
Olfr1209_3738	0	0	0	0	0	0
Olfr1211_3739	0	0	0	0	0	0
Unknown_3740	0	0	0	0	0	0
Olfr1212_3741	0	0	0	0	0	0
Unknown_3742	0	0	0	0	0	0
Olfr1213_3743	0	0	0	0	0	0
Olfr1214_3744	0	0	0	0	0	0
Unknown_3745	0	0	0	0	0	0
Olfr1216_3746	0	0	0	0	0	0
Unknown_3747	0	0	0	0	0	0
Olfr1218_3748	0	0	0	0	0	0
Olfr1219_3749	0	0	0	0	0	0
Unknown_3750	0	0	0	0	0	0
Unknown_3751	0	0	0	0	0	0
Olfr1221_3752	0	0	0	0	0	0
Unknown_3753	0	0	0	0	0	0
Olfr1222_3754	0	0	0	0	0	0
Olfr1223_3755	0	0	0	0	0	0
Unknown_3756	0	0	0	0	0	0
Unknown_3757	0	0	0	0	0	0
Gm13761_3758	3	4	8	2	3	4
Olfr1226_3759	0	0	0	0	0	0
Unknown_3760	0	0	0	0	0	0
Olfr1229_3761	0	0	0	0	0	0
Olfr1230_3762	0	0	0	0	0	0
Olfr1231_3763	0	0	0	0	0	0
Olfr1232_3764	0	0	0	0	0	0
Olfr1233_3765	0	0	0	0	0	0
Olfr1234_3766	0	0	0	0	0	0
Unknown_3767	0	0	0	0	0	0
Unknown_3768	0	0	0	1	0	0
Olfr1239_3769	0	0	0	0	0	0
Unknown_3770	0	0	0	0	0	0
Olfr1241_3771	0	0	0	0	0	0
Olfr1242_3772	0	0	0	0	0	0
Olfr1243_3773	0	0	0	0	0	0
Unknown_3774	0	0	0	0	0	0
Unknown_3775	0	0	0	0	0	0
Olfr1247_3776	0	0	0	0	0	0
Unknown_3777	0	0	0	0	0	0
Olfr1249_3778	0	0	0	0	0	0
Olfr1250_3779	0	0	0	0	0	0
Unknown_3780	0	0	0	0	0	0
Unknown_3781	0	0	0	0	0	0
Olfr1253_3782	0	0	0	0	0	0
Olfr1254_3783	0	0	0	0	0	0
Olfr1255_3784	0	0	0	0	0	0
Olfr1256_3785	0	0	0	0	0	0
Olfr48_3786	0	0	0	0	0	0
Olfr1257_3787	0	0	0	0	0	0
Olfr1258_3788	0	0	0	0	0	0
Olfr1259_3789	0	2	0	0	0	0
Olfr1260_3790	0	0	0	0	0	0
Olfr1261_3791	0	0	0	0	0	0
Olfr1262_3792	0	0	0	0	0	0
Olfr1263_3793	0	0	0	0	0	0
Olfr1264_3794	0	0	0	0	0	0
Olfr1265_3795	0	0	0	0	0	0
Olfr140_3796	0	0	0	0	0	0
Olfr1269_3797	0	0	0	0	0	0
Unknown_3798	0	0	0	0	0	0
Olfr1267-ps1_3799	0	0	0	0	0	0
Olfr32_3800	0	0	0	0	0	0
Unknown_3801	0	0	0	0	0	0
Olfr1270_3802	0	0	0	0	0	0
Unknown_3803	5	7	5	3	4	4
Olfr1506_3804	0	0	0	0	0	0
Gm18953_3805	4	11	8	3	3	0
Olfr142_3806	0	0	0	0	0	0
Olfr1271_3807	0	0	0	0	0	0
Olfr1272_3808	0	0	0	0	0	0
Unknown_3809	0	0	0	0	0	0
Olfr1506_3810	0	0	0	0	0	0
Unknown_3811	2	2	4	5	1	2
Olfr1274_3812	0	0	0	0	0	0
Ptprj_3813	159	204	182	169	107	80
Unknown_3814	0	0	0	0	0	0
Nup160_3815	3792	4473	3871	2354	4199	2746
Fnbp4_3816	5029	5500	5398	3166	4281	3452
Unknown_3817	249	190	201	181	240	172
Agbl2_3818	2	4	4	1	1	3
Unknown_3819	913	1589	1483	961	1892	1415
Mtch2_3820	3228	3414	3507	2221	3541	2537
C1qtnf4_3821	2	0	0	0	0	0
Ndufs3_3822	1394	1740	1657	1073	1707	1250
Kbtbd4_3823	1465	1609	1549	1124	1773	1371
Ptpmt1_3824	1654	1678	1662	1379	2193	1660
Unknown_3825	206	199	223	208	320	225
Celf1_3826	10158	10823	10940	4858	8064	6642
Unknown_3827	44	41	47	21	41	44
Rapsn_3828	116	61	65	264	355	277
Unknown_3829	8	14	15	12	15	10
Psmc3_3830	5797	7164	6827	4991	8242	6287
Slc39a13_3831	755	852	799	507	607	469
Spi1_3832	3964	4036	3512	3448	4565	3676
Mybpc3_3833	42	46	62	27	44	38
Madd_3834	3359	3009	3214	1413	1838	1527
Nr1h3_3835	23	34	37	19	44	23
Unknown_3836	1	4	6	1	4	1
Gm23390_3837	1	0	0	0	0	0
Acp2_3838	1947	1692	1540	996	1395	999
Ddb2_3839	991	809	819	369	510	302
Unknown_3840	27	25	27	14	19	14
Unknown_3841	10	17	16	8	8	4
Pacsin3_3842	32	57	35	15	28	19
Arfgap2_3843	3819	3530	3481	2585	3751	2698
1110051M20Rik_3844	2522	2191	2135	1792	2452	1800
Unknown_3845	0	2	3	0	0	0
Lrp4_3846	1481	1010	1055	879	863	599
Unknown_3847	106	124	117	76	98	81
Ckap5_3848	8397	10044	8855	5161	8265	5776
Snord67_3849	1	3	0	2	1	0
F2_3850	0	2	1	0	0	0
Gm13771_3851	56	84	94	52	106	65
Zfp408_3852	902	987	919	655	900	696
Arhgap1_3853	2736	3334	3324	1937	3095	2403
Atg13_3854	2106	1847	1708	1341	1607	1091
Harbi1_3855	446	451	514	375	405	334
Gm13776_3856	67	103	111	93	136	116
Ambra1_3857	2203	2331	2187	1496	1924	1482
Unknown_3858	0	1	1	0	0	0
Chrm4_3859	60	106	129	75	14	6
Mdk_3860	140	141	142	79	99	102
Dgkz_3861	9861	10794	10433	7092	8578	6857
Mir6999_3862	69	45	14	19	36	14
Unknown_3863	1055	617	681	437	422	350
Creb3l1_3864	233	318	256	363	486	307
Unknown_3865	0	0	0	0	0	0
Unknown_3866	0	0	0	0	0	0
Phf21a_3867	2062	1425	1224	1176	1140	701
Mir1955_3868	0	0	0	0	0	0
Unknown_3869	4	1	3	1	3	3
Unknown_3870	1	1	2	0	3	1
Large2_3871	60	98	100	94	210	263
Pex16_3872	649	825	744	399	550	387
1700029I15Rik_3873	21	25	29	8	9	9
Mapk8ip1_3874	34	15	44	8	17	6
Mir7000_3875	0	0	1	0	2	1
Cry2_3876	1376	987	1030	865	1003	668
D930015M05Rik_3877	128	91	106	94	146	111
Slc35c1_3878	3437	4034	3838	3054	3737	2902
Unknown_3879	0	0	0	0	0	0
Unknown_3880	0	0	0	0	0	0
Unknown_3881	71	75	70	51	84	51
Mir7221_3882	0	0	0	0	0	0
Mir7222_3883	0	0	0	0	0	0
Chst1_3884	0	0	0	1	3	4
Unknown_3885	0	2	4	8	7	5
Unknown_3886	0	0	0	0	0	0
Unknown_3887	0	0	0	0	1	0
Syt13_3888	0	0	0	0	0	0
Prdm11_3889	1130	1018	967	674	969	740
4631405J19Rik_3890	1	2	5	4	5	3
Unknown_3891	0	0	0	0	0	0
Trp53i11_3892	48	39	38	29	0	4
Tspan18_3893	0	2	2	0	0	0
Unknown_3894	0	0	0	0	0	0
Gm13807_3895	9	6	5	2	4	1
Cd82_3896	1898	1660	1727	1029	1524	1049
Mir7001_3897	0	5	26	0	2	8
Gm10804_3898	1	1	2	0	1	1
Unknown_3899	0	0	0	0	0	0
Alx4_3900	0	0	0	0	0	0
Ext2_3901	6344	7369	7349	3776	4750	3642
Gm13818_3902	2	4	3	3	1	3
Accs_3903	562	529	525	316	339	290
Accsl_3904	0	0	0	0	0	0
Unknown_3905	0	0	0	0	0	0
Unknown_3906	4	5	3	3	5	8
Gm13889_3907	3	6	20	7	2	3
Unknown_3908	2	3	11	5	1	0
Unknown_3909	192	229	212	171	279	227
Alkbh3os1_3910	14	15	19	15	18	10
Alkbh3_3911	749	786	776	682	1033	803
Hsd17b12_3912	3674	4699	4906	2875	5020	3737
Unknown_3913	0	0	0	0	0	0
Mir129-2_3914	0	0	0	0	0	0
Unknown_3915	0	0	0	0	0	0
Mir670_3916	0	0	0	0	0	0
Ttc17_3917	2591	2300	2199	1449	1902	1377
Unknown_3918	609	861	728	580	886	707
Unknown_3919	376	324	289	229	294	229
Api5_3920	8434	8536	7927	5665	8508	6373
Unknown_3921	0	1	1	0	2	3
Gm24318_3922	0	0	0	0	0	0
Gm13793_3923	0	0	0	0	0	0
Gm26396_3924	0	0	0	0	0	0
Unknown_3925	0	0	0	0	0	0
Unknown_3926	0	0	0	0	0	0
Unknown_3927	0	0	0	0	0	0
Unknown_3928	37	35	27	30	33	45
Unknown_3929	41	37	35	14	24	19
Gm13799_3930	0	0	0	0	0	0
Unknown_3931	0	0	0	0	0	0
Unknown_3932	3	1	1	4	3	2
Lrrc4c_3933	0	0	0	1	0	0
Unknown_3934	2	0	0	0	0	0
Gm17075_3935	0	0	0	0	0	0
Gm17076_3936	0	0	0	0	0	0
Unknown_3937	0	0	0	0	0	0
Gm22313_3938	0	0	0	0	0	0
Unknown_3939	0	0	0	0	0	0
Unknown_3940	169	180	126	127	129	88
Unknown_3941	0	0	0	0	0	0
Unknown_3942	1	2	2	2	1	0
Unknown_3943	1	0	1	0	2	2
Unknown_3944	2	0	0	0	1	0
Unknown_3945	24	26	16	5	20	10
Unknown_3946	103	205	155	203	274	151
Unknown_3947	2	9	15	11	24	12
Unknown_3948	0	0	1	1	0	0
Unknown_3949	0	0	0	0	0	0
Unknown_3950	332	541	479	336	360	266
Unknown_3951	1581	2638	2401	1516	1925	1409
Iftap_3952	381	331	270	506	689	435
Unknown_3953	1	0	1	1	0	0
Rag2_3954	0	0	0	13	9	7
Rag1_3955	0	0	1	0	0	0
Traf6_3956	2231	2519	2324	1867	2588	1797
Prr5l_3957	4	1	0	4	1	1
Unknown_3958	0	0	0	0	0	0
Commd9_3959	628	735	754	448	645	435
Ldlrad3_3960	723	773	860	450	628	532
Unknown_3961	0	0	0	0	0	0
Unknown_3962	1	3	3	0	3	1
Unknown_3963	38	28	36	25	36	20
Gm13866_3964	0	0	0	0	0	0
Trim44_3965	5153	5219	5029	3176	4939	3929
Unknown_3966	2	0	0	0	0	0
Fjx1_3967	0	0	0	0	0	0
Pamr1_3968	0	0	0	0	0	0
Slc1a2_3969	0	0	0	0	0	0
Gm13872_3970	0	0	0	0	0	0
Cd44_3971	8504	9970	10114	4792	6106	5100
Gm23731_3972	0	0	0	0	0	0
Pdhx_3973	657	761	735	641	994	736
Apip_3974	615	602	553	389	584	372
Unknown_3975	1	0	0	0	0	0
Unknown_3976	0	0	0	0	0	0
Gm13869_3977	0	0	0	0	0	0
Unknown_3978	0	1	0	0	2	1
Ehf_3979	0	0	1	0	0	0
A930006I01Rik_3980	0	0	0	0	0	0
BC016548_3981	0	0	0	0	1	0
Elf5_3982	5	7	8	14	17	9
Cat_3983	6084	7041	6958	4192	6370	4815
Unknown_3984	0	0	0	0	0	0
Abtb2_3985	317	334	307	41	66	38
Nat10_3986	3623	4828	4986	3052	4921	4332
Caprin1_3987	23687	28578	27568	16872	26586	21241
4930547E08Rik_3988	1	4	6	2	1	2
Unknown_3989	2	0	0	0	0	0
Unknown_3990	298	266	268	146	222	136
Unknown_3991	0	0	0	0	0	0
Gm13875_3992	58	65	74	49	73	40
Unknown_3993	47	59	62	42	62	33
Unknown_3994	11	17	22	16	18	14
Unknown_3995	10	16	22	15	16	11
Unknown_3996	0	0	0	0	0	0
Unknown_3997	10	25	20	29	59	35
Lmo2_3998	5619	5767	5403	5831	7896	6111
4931422A03Rik_3999	362	359	336	253	339	270
Fbxo3_4000	3419	3819	3616	2522	3617	2753
Gm24644_4001	20	16	18	12	10	10
Unknown_4002	1	2	0	1	2	1
Unknown_4003	0	0	0	0	0	0
Cd59b_4004	1	6	5	1	1	0
Cd59a_4005	0	1	2	10	58	42
A930018P22Rik_4006	0	0	0	0	0	0
D430041D05Rik_4007	0	0	0	0	0	0
Gm22501_4008	0	0	0	0	0	0
Unknown_4009	0	0	0	0	0	0
Unknown_4010	0	0	0	0	0	0
Gm13882_4011	238	392	327	289	410	287
Hipk3_4012	6902	5515	4822	3125	5694	4042
Mir1902_4013	207	160	133	87	124	97
Gm13870_4014	24	47	41	43	52	35
Unknown_4015	27	28	32	7	19	16
Platr14_4016	6	8	4	2	5	4
Gm22439_4017	0	0	0	0	0	0
Unknown_4018	0	0	0	0	0	0
Cstf3_4019	1743	3036	2912	1471	2288	1688
Tcp11l1_4020	1689	1129	1297	883	1216	983
Pin1rt1_4021	80	94	115	72	96	73
Depdc7_4022	397	614	598	94	155	110
Qser1_4023	1716	1664	1724	1115	2200	1727
Unknown_4024	569	676	697	439	673	552
Prrg4_4025	21	32	23	36	203	132
Ccdc73_4026	140	119	150	110	157	93
Unknown_4027	0	1	0	0	0	0
Eif3m_4028	3419	3821	3903	2856	4381	3220
Unknown_4029	0	1	1	0	1	0
Wt1os_4030	0	0	0	0	0	0
Unknown_4031	0	0	0	0	0	0
Unknown_4032	0	0	0	0	0	0
Unknown_4033	0	0	0	0	0	0
Unknown_4034	0	0	0	0	0	0
Unknown_4035	0	0	0	0	0	0
Wt1_4036	1	3	0	10	1	0
Them7_4037	0	0	0	0	0	0
Rcn1_4038	356	150	121	698	964	698
Unknown_4039	0	0	0	0	0	0
Pax6os1_4040	1	1	3	0	1	1
Unknown_4041	14	18	18	17	18	15
Rpl10-ps1_4042	2966	3003	3035	2097	2854	2139
Pax6_4043	0	1	2	1	10	5
Elp4_4044	587	630	599	383	671	459
Unknown_4045	0	0	0	0	0	0
Immp1l_4046	399	369	449	250	401	267
Dnajc24_4047	430	415	393	333	463	340
Unknown_4048	0	1	0	0	0	0
Unknown_4049	0	0	0	0	0	0
Dcdc5_4050	0	1	0	0	0	0
Unknown_4051	45	38	35	24	26	27
Unknown_4052	3	6	9	5	3	4
Gm14015_4053	0	0	0	0	0	0
Unknown_4054	0	0	0	0	0	0
BB218582_4055	0	0	0	0	0	0
Mpped2_4056	0	0	0	0	0	0
Unknown_4057	0	0	0	0	0	0
Unknown_4058	1	1	0	0	3	0
Gm13902_4059	51	65	58	42	69	47
Arl14ep_4060	3646	2536	2064	1592	2758	1569
Unknown_4061	3	0	5	2	1	1
Unknown_4062	1191	1670	1519	953	1583	1192
Fshb_4063	0	0	0	0	0	0
Unknown_4064	0	0	0	0	0	0
Unknown_4065	0	0	0	0	0	0
Kcna4_4066	0	0	0	0	0	0
Unknown_4067	0	0	1	0	0	0
Gm23439_4068	0	0	0	0	0	0
Gm23749_4069	0	0	0	0	0	0
Gm13912_4070	0	0	0	0	0	0
Gm13916_4071	3	9	3	3	4	6
Unknown_4072	158	196	205	146	263	142
Unknown_4073	0	0	0	0	0	0
Gm13914_4074	4	6	4	8	11	2
Unknown_4075	188	148	165	142	199	125
Unknown_4076	2629	3320	3232	1932	3439	2341
Unknown_4077	0	0	0	0	0	0
Mettl15_4078	148	128	93	126	97	74
Unknown_4079	0	0	0	0	0	0
Kif18a_4080	582	852	762	626	1036	706
Gm13924_4081	1	1	0	1	1	0
Unknown_4082	37	40	21	15	32	17
Unknown_4083	0	0	0	0	0	0
