X6005.3SA	X6005.3SB	X6005.3SC	DMSO5.3A	DMSO5.3B	DMSO5.3C
Tram2_150	995	1242	1318	333	659	545
Tmem14a_151	68	88	102	75	103	64
Gsta3_152	4	8	7	6	4	3
Unknown_153	1	13	4	1	0	1
Gm4956_154	0	0	0	0	0	0
Unknown_155	0	0	0	0	0	0
Khdc1a_156	0	0	0	0	0	0
Unknown_157	0	0	0	0	0	0
Unknown_158	0	0	0	0	0	0
Khdc1c_159	0	0	0	0	0	0
Unknown_160	0	0	0	0	0	0
Unknown_161	0	0	0	0	0	0
Khdc1b_162	0	0	0	0	0	0
Unknown_163	0	0	0	0	0	0
Kcnq5_164	537	661	539	513	695	407
Gm7658_165	2721	3033	3059	2151	3421	2452
Unknown_166	25	27	23	32	34	16
Rims1_167	1	0	0	0	0	0
Unknown_168	0	1	0	2	0	0
Ppp1r14bl_169	1	3	3	5	6	7
Gm24176_170	0	0	0	0	0	0
Unknown_171	0	0	0	0	0	0
Mir30a_172	0	0	0	0	0	0
Unknown_173	3	3	4	2	1	3
Mir30c-2_174	0	0	0	0	0	0
Ogfrl1_175	6182	5429	5125	3015	3795	2743
Gm7784_176	5	7	5	7	3	5
B3gat2_177	1521	1461	1295	932	1388	952
Smap1_178	2395	2358	2129	1499	2284	1589
Sdhaf4_179	321	301	299	294	384	236
Unknown_180	82	82	72	79	113	59
Fam135a_181	271	203	205	327	556	358
Unknown_182	0	0	0	0	0	0
Col9a1_183	0	0	0	0	0	0
Col19a1_184	1	5	4	5	0	3
Gm26418_185	0	0	0	0	0	0
Gm10222_186	7323	12217	12891	4591	8721	6462
Lmbrd1_187	1453	1135	1263	675	1120	803
Adgrb3_188	0	0	0	0	1	0
Unknown_189	335	315	327	188	285	206
Gm22260_190	0	0	0	0	0	0
Gm25294_191	0	0	0	0	0	0
Unknown_192	0	0	0	0	0	0
Gm24064_193	0	0	0	0	0	0
4931408C20Rik_194	5	12	12	15	32	37
n-R5s209_195	0	0	0	0	0	0
Unknown_196	217	306	362	256	453	326
Gm597_197	0	0	0	0	2	1
Unknown_198	168	245	207	157	269	211
Gm6462_199	1	2	1	0	2	0
Unknown_200	0	0	0	0	0	0
Unknown_201	0	0	0	0	0	0
Unknown_202	0	0	0	0	0	0
Mir6342_203	0	0	0	0	0	0
Unknown_204	0	0	0	0	0	0
Unknown_205	0	0	0	0	0	0
Unknown_206	0	0	0	1	0	0
Phf3_207	5828	6438	5999	3482	5193	3804
Ptp4a1_208	482	480	448	343	521	393
Unknown_209	1	0	2	2	1	0
Gm9458_210	1	0	0	1	1	0
Unknown_211	1	0	1	0	1	1
Unknown_212	0	0	0	0	0	0
4931428L18Rik_213	0	0	0	0	0	0
Lgsn_214	0	0	0	0	0	0
Dnaaf6_215	0	0	0	0	0	0
Gm26145_216	0	0	0	0	0	0
Unknown_217	97	114	126	92	133	97
Gm19680_218	571	600	560	613	874	601
Gm23032_219	0	0	0	0	0	0
Unknown_220	3	4	7	3	1	6
Khdrbs2_221	0	0	0	0	0	0
Gm25814_222	0	0	0	0	0	0
Unknown_223	0	0	0	0	0	0
Gm5415_224	1	0	0	0	0	0
Gm24732_225	0	0	0	0	0	0
Unknown_226	0	0	0	0	0	0
Gm24901_227	0	0	0	0	0	0
Gm25792_228	0	0	0	0	0	0
Gm23453_229	0	0	0	0	0	0
Prim2_230	1050	1430	1313	858	1271	841
Unknown_231	9	6	5	2	7	2
Rab23_232	108	204	232	251	379	287
Bag2_233	336	1029	1059	1223	1759	1553
Zfp451_234	1744	1895	1840	1315	2043	1581
Gm15455_235	608	601	573	455	695	516
Bend6_236	0	0	0	0	0	0
Dst_237	18	16	8	24	11	11
Gm23792_238	0	0	0	0	0	0
Unknown_239	0	0	0	1	0	0
Unknown_240	0	0	0	0	0	0
Mir5103_241	0	0	0	0	0	0
Ccdc115_242	1499	1311	1211	1745	1983	1564
Imp4_243	2327	2804	2643	2132	3062	2433
Ptpn18_244	1725	1634	1679	1009	1391	1062
Prss39_245	1	3	2	1	2	0
Cfc1_246	0	0	0	0	0	0
Prss40_247	0	0	0	0	0	0
Unknown_248	0	0	0	0	0	0
Amer3_249	0	0	1	0	0	0
Arhgef4_250	841	814	899	504	664	519
Unknown_251	0	0	0	0	0	0
Fam168b_252	12012	11550	11035	5777	8696	6497
Plekhb2_253	4101	4091	4276	2136	2707	2046
Gm25096_254	0	0	0	0	0	0
Gm25634_255	0	0	0	0	0	0
Hs6st1_256	1254	1585	1721	1001	1193	1008
Uggt1_257	13927	18085	17235	9343	11889	9022
Mir6897_258	3	56	1	80	0	0
Neurl3_259	1241	984	955	1375	1596	1144
Arid5a_260	2784	2240	2247	1008	1007	738
Kansl3_261	3333	3415	3201	1866	2671	1919
Mir6898_262	1	10	0	0	1	0
Fer1l5_263	249	158	144	172	222	194
Lman2l_264	1619	1805	1635	1254	1601	1121
Cnnm4_265	1293	1907	1797	343	455	374
Cnnm3_266	1472	1308	1415	836	1012	785
Ankrd23_267	362	294	277	211	228	215
Ankrd39_268	370	318	376	300	418	294
Sema4c_269	37	118	73	52	69	55
Unknown_270	1	2	1	1	0	1
Fam178b_271	1	0	0	1	0	1
Unknown_272	205	187	170	99	149	88
Unknown_273	0	0	0	0	0	0
Cox5b_274	2312	3068	3018	2455	3972	2811
Actr1b_275	1995	2232	2327	1452	2001	1611
Zap70_276	0	0	0	0	0	0
Gm18828_277	0	0	0	0	0	0
Tmem131_278	3129	3414	3314	1938	3018	2444
Unknown_279	510	482	480	353	423	358
n-R5s210_280	1	0	1	0	0	0
Vwa3b_281	0	0	0	0	0	0
Unknown_282	0	0	0	0	0	0
Cnga3_283	0	1	0	1	11	7
Inpp4a_284	2558	2308	2709	510	810	793
Unknown_285	0	0	0	0	0	0
Coa5_286	5283	5420	5208	4430	6747	5277
Unc50_287	1589	1637	1727	1111	1461	1132
Mgat4a_288	647	825	727	602	703	515
Unknown_289	346	507	391	322	567	488
Cracdl_290	0	0	0	3	2	0
Unknown_291	0	0	0	0	1	0
Tsga10_292	229	300	295	134	193	125
Unknown_293	0	0	0	1	1	1
Lipt1_294	153	195	183	137	230	170
Mitd1_295	955	973	977	612	921	793
Mrpl30_296	1319	1861	1807	1192	1976	1520
Lyg2_297	0	0	0	0	0	0
Unknown_298	4	7	8	0	6	4
Lyg1_299	0	0	0	0	0	0
Unknown_300	0	0	0	0	0	0
Txndc9_301	2330	2566	2464	1520	2454	1767
Eif5b_302	7073	9474	9025	6597	11030	8400
Rev1_303	1559	1722	1646	1742	2134	1726
Aff3_304	511	311	304	175	210	97
Unknown_305	0	0	0	1	0	0
Unknown_306	0	0	0	0	0	0
Unknown_307	0	0	0	0	0	0
Lonrf2_308	0	0	0	0	0	0
Chst10_309	0	0	1	0	0	1
Nms_310	0	0	0	0	0	0
Pdcl3_311	1379	1750	1573	959	1510	1071
Mir6349_312	0	0	0	0	0	0
Npas2_313	0	0	0	1	0	0
Unknown_314	1	1	6	2	2	1
Gm3617_315	96	65	85	54	70	55
Rpl31_316	6142	6261	5815	4150	5158	3836
Tbc1d8_317	1823	1566	1571	1040	1221	837
Gm24826_318	0	0	0	0	0	0
Cnot11_319	1645	1633	1497	1126	1757	1236
Unknown_320	365	445	441	256	437	287
Snord89_321	7	8	12	5	11	8
Rnf149_322	1166	1521	1438	806	1327	951
LOC115485772_323	6	5	5	0	0	2
Creg2_324	0	0	1	0	0	0
Unknown_325	0	0	0	0	0	0
Rfx8_326	0	0	0	0	0	0
Gm3646_327	0	0	0	0	0	0
Map4k4_328	259	15	12	85	7	4
Gm16894_329	2	6	1	15	9	12
Il1r2_330	24	68	54	90	157	116
Il1r1_331	0	0	0	0	0	0
Il1rl2_332	0	0	0	0	0	0
Il1rl1_333	0	0	1	1	1	0
Il18r1_334	1	0	0	1	4	5
Il18rap_335	156	156	94	697	1563	745
Slc9a4_336	0	0	0	0	0	0
Slc9a2_337	0	0	0	0	0	0
Mfsd9_338	79	117	91	91	105	99
Tmem182_339	0	0	0	0	1	0
Unknown_340	1	2	0	0	2	1
Unknown_341	0	0	0	0	0	0
Pantr1_342	0	0	0	0	0	0
Unknown_343	0	0	0	0	0	0
Pou3f3_344	0	0	0	0	0	0
Pantr2_345	0	0	0	0	0	0
Mrps9_346	1325	1635	1590	1148	1631	1232
Gm23126_347	0	0	0	0	0	0
Gpr45_348	0	0	0	0	0	0
Unknown_349	0	0	0	0	0	0
Unknown_350	0	0	0	0	0	0
Tgfbrap1_351	1464	1516	1527	931	1381	1134
Unknown_352	7	3	5	3	6	3
AI597479_353	947	1132	1110	892	1278	947
Fhl2_354	0	0	0	0	0	0
Unknown_355	2086	2267	2130	1768	2319	1758
Nck2_356	917	962	969	461	657	452
Ecrg4_357	0	0	6	3	0	0
Uxs1_358	1472	1445	1510	997	1279	1040
Unknown_359	19	60	33	67	71	52
Gm26352_360	0	0	0	0	0	0
Unknown_361	0	0	0	0	0	1
Tpp2_362	3420	5061	4785	2824	4523	3353
Mettl21c_363	0	2	2	1	14	4
Unknown_364	3	1	3	3	3	3
Unknown_365	13	41	29	9	17	7
Tex30_366	1247	1734	1642	945	1514	1126
Poglut2_367	1662	1793	1671	1280	1500	1052
Bivm_368	517	446	410	287	333	217
Ercc5_369	896	1071	1033	449	429	446
Mettl21e_370	0	0	0	0	0	0
Unknown_371	316	416	287	365	479	281
Gulp1_372	0	2	0	29	0	0
Unknown_373	12	11	9	11	20	6
Col3a1_374	0	0	0	0	0	0
Col5a2_375	0	0	0	3	2	2
Gm23216_376	0	0	0	0	0	0
Gm23974_377	0	0	0	0	0	0
Unknown_378	0	0	0	0	0	0
Wdr75_379	2669	3379	3306	1878	3568	2843
Unknown_380	5515	5526	5886	3667	4852	3671
Unknown_381	83	110	101	78	133	75
Slc40a1_382	850	1321	928	430	805	444
Rpl23a-ps1_383	230	200	210	175	230	168
Unknown_384	10	5	8	5	10	6
Stk-ps2_385	0	0	1	0	0	0
Dnah7b_386	0	0	0	0	0	0
n-R5s211_387	0	0	0	0	0	0
Unknown_388	0	0	0	0	0	0
Slc39a10_389	664	854	986	1073	1609	1340
Unknown_390	239	268	253	172	294	190
Mir6350_391	0	0	0	0	0	0
Unknown_392	0	0	0	0	0	0
Unknown_393	0	0	0	0	0	0
Gm5974_394	14	15	7	13	12	13
Gm23240_395	0	0	0	0	0	0
Gm8357_396	25	49	33	39	43	35
Unknown_397	0	0	0	0	0	0
C230029F24Rik_398	0	0	0	0	0	0
Unknown_399	0	0	0	0	0	0
Unknown_400	0	0	0	0	0	0
Tmeff2_401	1	1	1	0	0	0
Unknown_402	0	0	0	0	0	0
Cavin2_403	0	0	0	0	0	0
Nabp1_404	2433	2280	2247	779	1166	885
Myo1b_405	0	1	1	0	1	3
Unknown_406	0	0	0	0	0	0
Gm8420_407	154	198	209	146	176	156
Stat4_408	0	4	3	177	258	130
Gm3940_409	658	715	698	530	652	518
Stat1_410	4216	3786	3315	2221	3221	2283
Gls_411	6709	9824	9485	4241	6704	5635
Gm23460_412	0	0	0	0	0	0
Nab1_413	1349	1851	1796	1483	2023	1591
Gm5976_414	733	1105	986	910	1108	833
Nemp2_415	885	851	857	231	367	219
Mfsd6_416	844	819	829	188	332	214
Inpp1_417	820	1018	949	440	745	533
Hibch_418	1336	1657	1568	940	1510	1027
Gm16107_419	0	2	1	1	2	2
1700019D03Rik_420	11	3	10	3	7	12
Mstn_421	0	0	0	0	0	0
Gm24349_422	0	0	0	0	0	0
1700019A02Rik_423	0	0	4	1	3	0
Pms1_424	849	1190	1109	442	794	593
Ormdl1_425	2311	1814	2011	856	1257	948
Osgepl1_426	637	643	598	509	700	438
Asnsd1_427	5069	5631	5227	3600	5077	3495
Dnah7a_428	0	1	0	1	0	0
Unknown_429	1	0	2	0	3	0
Stk17b_430	1350	1188	1173	608	899	686
Hecw2_431	0	2	0	3	5	3
Mir7681_432	0	0	0	0	0	0
Gm24251_433	0	1	0	0	0	0
Gm25829_434	0	0	0	0	0	0
Ccdc150_435	0	0	0	4	5	5
Gtf3c3_436	760	971	904	783	1252	888
Pgap1_437	0	0	0	0	0	0
Ankrd44_438	3645	2969	2732	2406	3509	2466
Unknown_439	0	0	0	0	0	0
Sf3b1_440	19427	22692	20635	13159	18169	13039
Coq10b_441	516	605	611	299	570	399
Hspd1_442	10369	18119	16628	12816	23873	18734
Hspe1_443	2420	3395	3441	2383	3956	3080
Gm16581_444	1347	1466	1419	695	953	856
Mob4_445	1075	1059	1067	574	888	668
Unknown_446	56	67	75	49	84	61
Rftn2_447	8	7	11	15	14	3
Gm10561_448	0	0	0	0	0	0
Mars2_449	650	843	794	580	947	703
Boll_450	2	3	0	0	1	1
Unknown_451	1606	1207	1329	912	1171	916
Plcl1_452	2	4	1	1	1	0
Unknown_453	682	904	925	475	764	571
Hsfy2_454	0	0	0	0	0	0
Satb2_455	422	399	417	310	502	428
9130024F11Rik_456	17	16	23	17	35	30
Unknown_457	0	0	0	0	0	0
4930558J18Rik_458	87	91	100	61	104	69
1700066M21Rik_459	588	729	752	343	641	482
Tyw5_460	363	324	362	338	603	443
Maip1_461	431	413	402	413	732	517
Gm22371_462	0	0	0	0	0	0
Unknown_463	0	0	0	0	0	0
Spats2l_464	0	1	0	0	0	0
Unknown_465	0	0	0	0	0	0
Kctd18_466	1631	1975	1895	1078	1702	1256
Sgo2a_467	1288	1839	1686	990	1732	1234
Aox1_468	2	2	4	1	2	0
Aox3_469	0	1	0	4	1	1
Gm24548_470	0	0	0	0	0	0
Aox4_471	0	0	0	0	1	1
Unknown_472	0	0	0	0	0	0
Aox2_473	0	1	0	2	6	1
Bzw1_474	12532	13715	13853	8072	13293	10018
Clk1_475	4644	4862	5003	2089	3076	2250
Ppil3_476	848	905	899	676	1026	794
Nif3l1_477	1462	1603	1520	1242	1923	1548
Orc2_478	2400	2408	2439	2210	3565	2946
Gm23966_479	2	4	6	1	2	5
Unknown_480	70	113	114	47	76	40
Fam126b_481	887	1107	1033	633	1096	753
Ndufb3_482	1203	1385	1240	1043	1642	1099
Unknown_483	2212	2116	2059	1441	2265	1638
Flacc1_484	1	0	2	1	1	3
Cflar_485	2673	2353	2539	1748	1919	1568
Casp8_486	3823	3938	3735	2705	4168	2873
Trak2_487	2805	3681	3420	1587	3017	2227
Stradb_488	823	814	783	467	695	512
Unknown_489	0	0	0	0	0	0
C2cd6_490	0	0	1	0	0	1
Gm25502_491	0	0	0	0	0	0
Tmem237_492	485	602	517	548	827	589
Unknown_493	24	25	38	13	32	19
Mpp4_494	186	218	241	114	271	228
Als2_495	3085	3953	4167	1783	4046	3221
Cdk15_496	0	0	0	1	0	0
Fzd7_497	780	673	668	876	612	598
Unknown_498	12	4	7	14	8	10
Gm973_499	0	0	0	1	0	0
Unknown_500	0	0	0	0	0	0
Sumo1_501	1613	1817	1738	1488	2240	1566
Nop58_502	8687	10369	9848	6042	10327	8451
Unknown_503	7	4	9	5	1	6
LOC115485825_504	16	40	31	30	54	51
Gm26287_505	10	13	13	2	3	5
Unknown_506	2	4	3	1	3	2
Bmpr2_507	411	444	492	77	208	161
Fam117b_508	1863	2286	2117	1453	1964	1443
Ica1l_509	25	21	22	22	23	20
Wdr12_510	3167	3371	3207	3249	4954	3884
Carf_511	366	393	379	170	239	166
Gm15464_512	1156	986	998	857	1060	745
Nbeal1_513	984	935	958	322	467	408
Cyp20a1_514	1263	1613	1447	824	1284	979
Abi2_515	169	387	340	273	465	282
Raph1_516	367	571	580	214	307	226
Unknown_517	228	262	269	338	469	330
Unknown_518	0	0	0	0	0	0
Unknown_519	0	0	0	0	0	0
